image,pattern,width,height,pixels,filter,filter_width,filter_height,version,repeat,time_ms,verified
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,cpu_single,1,13.340223,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_global,1,0.366808,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled,1,0.344384,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_constant,1,0.344464,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled_constant,1,0.341480,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,cpu_single,2,14.512075,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_global,2,0.359577,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled,2,0.344154,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_constant,2,0.344554,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled_constant,2,0.345515,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,cpu_single,3,13.631796,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_global,3,0.363232,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled,3,0.344444,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_constant,3,0.343853,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled_constant,3,0.341640,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,cpu_single,4,13.409478,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_global,4,0.348411,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled,4,0.343523,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_constant,4,0.343252,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled_constant,4,0.340818,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,cpu_single,5,13.469651,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_global,5,0.368911,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled,5,0.344254,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_constant,5,0.343613,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled_constant,5,0.342022,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,cpu_single,6,13.404241,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_global,6,0.359136,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled,6,0.351515,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_constant,6,0.349041,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled_constant,6,0.354568,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,cpu_single,7,15.002883,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_global,7,0.377154,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled,7,0.345025,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_constant,7,0.344484,1
checker_1024,1,1024,1024,1048576,gaussian_5x5,5,5,gpu_tiled_constant,7,0.341298,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,cpu_single,1,13.546287,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_global,1,0.365546,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled,1,0.344343,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_constant,1,0.344514,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled_constant,1,0.345445,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,cpu_single,2,13.476821,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_global,2,0.355620,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled,2,0.344144,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_constant,2,0.344124,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled_constant,2,0.341319,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,cpu_single,3,13.337018,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_global,3,0.355261,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled,3,0.343822,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_constant,3,0.343653,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled_constant,3,0.341309,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,cpu_single,4,13.333353,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_global,4,0.346376,1
